true_days_to_rotten,count,mae,rmse,within_1_day_rate,within_2_day_rate,mean_prediction,mean_residual
0.0,10,1.1152071988210082,1.2100725638767795,0.2,1.0,1.1116299832239747,1.1116299832239747
1.0,10,0.2958222389221191,0.33343181614687384,1.0,1.0,0.8511220216751099,-0.14887797832489008
2.0,10,0.9785064339637757,1.0604018661040386,0.2,1.0,1.0214935660362243,-0.9785064339637757
3.0,10,1.7573563039302826,1.9768633917124,0.3,0.7,1.2426436960697174,-1.7573563039302826
4.0,10,1.4541424095630646,1.8344136940197266,0.6,0.7,3.5080980956554413,-0.4919019043445587
5.0,10,1.6844066858291626,1.8891811664895963,0.1,0.6,3.3155933141708376,-1.6844066858291626
6.0,10,2.223845362663269,2.436699976672296,0.2,0.3,3.9537859201431274,-2.0462140798568726
7.0,10,3.065896415710449,3.3501016063769993,0.2,0.2,3.934103584289551,-3.065896415710449
